external_id,game,set_code,collector_number,name,condition,printing,language,quantity,cost,date_acquired,comment
dda08eb5-c75c-4c21-bfd1-1f04a3575241,mtg,TMP,143,Maddening Imp,LP,normal,en,1,0.0946,2026-06-20,airtable:Maddening Imp
6b49918f-693b-46b4-aaa4-e2a1d650293d,mtg,PLST,EMN-55,Displace,LP,normal,en,1,0.0946,2026-06-20,airtable:Displace
90701,pokemon,PR,XY08,Yveltal EX,LP,holo,en,1,3.074,2025-11-23,airtable:Yveltal EX
124035,pokemon,EVO,22/108,M Blastoise EX,NM,holo,en,1,25.5778,2025-11-23,airtable:M Blastoise EX
e4855db6-570c-4845-9074-a9df7611307a,mtg,4ED,162,Sorceress Queen,HP,normal,en,1,0.0946,2026-06-20,airtable:Sorceress Queen
7ec60f51-9845-4b5c-a920-c1bd22e0e7b5,mtg,MUL,155,"Zada, Hedron Grinder",MP,foil,en,1,0.0946,2026-06-20,"airtable:Zada, Hedron Grinder"
1959f078-4b7b-4df2-a256-d43b2d97e853,mtg,DDS,10,Snap,LP,normal,en,1,0.0946,2026-06-20,airtable:Snap
701bd623-3100-44dc-adec-53fa3a95ab19,mtg,LCI,176,Bedrock Tortoise,LP,normal,en,1,0.0946,2026-06-20,airtable:Bedrock Tortoise
90934b70-d4af-4a3e-81b4-c3f202b12f31,mtg,ZNC,112,Dimir Signet,NM,normal,en,1,0.0946,2026-06-20,airtable:Dimir Signet
90954848-af7e-47b3-82e7-9fedde6ad606,mtg,TMP,204,Shocker,MP,normal,en,1,0.0946,2026-06-20,airtable:Shocker
5cad8671-4761-4014-a8a3-af45627e6e79,mtg,MH3,209,Disruptor Flute,LP,normal,en,1,0.0946,2026-06-20,airtable:Disruptor Flute
neo3-3,pokemon,neo3,3,Celebi,LP,holo,en,1,28.514,2026-06-23,airtable:Celebi
32126592-a988-4171-b52e-cca80b881aff,mtg,OTC,27,Elemental Eruption,NM,normal,en,1,0.0946,2026-06-20,airtable:Elemental Eruption
1eb21318-d32e-4724-8908-c0d7613de2f4,mtg,MKM,177,Slime Against Humanity,LP,normal,en,1,0.0946,2026-06-20,airtable:Slime Against Humanity
2013aed6-7415-4bf0-a3bb-46d6beecbaff,mtg,SOM,67,Ichor Rats,LP,normal,en,1,0.0946,2026-06-20,airtable:Ichor Rats
28333138-60bc-459b-a0cd-1b7fd19c89cd,mtg,TMP,7,Avenging Angel,LP,normal,en,1,0.0946,2026-06-20,airtable:Avenging Angel
35d78f4e-d95d-49bc-9971-06a68a4e35fd,mtg,VIS,122,Summer Bloom,LP,normal,en,1,0.0946,2026-06-20,airtable:Summer Bloom
78b384d3-3adf-493a-8b89-bfe68fd1c3e2,mtg,VIS,49,Vision Charm,LP,normal,en,2,0.0946,2026-06-20,airtable:Vision Charm
e030d2eb-70c5-4ff7-8f03-ad5495cf9c69,mtg,MMQ,224,War Cadence,LP,normal,en,1,0.0946,2026-06-20,airtable:War Cadence
96e30d22-da86-49a1-a319-22e8a909d443,mtg,4ED,281,Verduran Enchantress,LP,normal,en,1,0.0946,2026-06-20,airtable:Verduran Enchantress
6943c07f-ab0d-4f5a-bbe9-c0a83dc98546,mtg,VOW,174,Reckless Impulse,LP,normal,en,4,0.0946,2026-06-20,airtable:Reckless Impulse
27305aad-f1bd-4895-8611-143bc0250bee,mtg,M21,234,Palladium Myr,NM,normal,en,1,0.0946,2026-06-20,airtable:Palladium Myr
60297593-2438-48d7-9414-48af114a93d2,mtg,ZNC,88,Zendikar's Roil,LP,normal,en,1,0.0946,2026-06-20,airtable:Zendikar's Roil
5d32dfc4-ba8f-4421-b05f-4bf3afd592f7,mtg,STA,95,Sign in Blood,LP,normal,en,2,0.0946,2026-06-20,airtable:Sign in Blood (JP Alternate Art)
120151,pokemon,STS,26/114,Volcanion EX,NM,holo,en,1,3.074,2025-11-23,airtable:Volcanion EX
d59bbac1-ca51-4c72-9f1f-5fc6c82a4a27,mtg,ALL,39,Thought Lash,DMG,normal,en,1,0.0946,2026-06-20,airtable:Thought Lash
32b525ab-5454-44e2-8dc7-ef5ef210f892,mtg,PSUS,6,City of Brass,LP,foil,en,1,530.0,2026-06-21,airtable:City of Brass
84416,pokemon,BCR,137/149,Computer Search,NM,holo,en,1,54.59,2026-02-07,airtable:Computer Search
2cae1d08-5bda-4eeb-8134-bdb62ad6f44e,mtg,SPG,110,Marsh Flats,NM,foil,en,1,60.05,2026-06-16,airtable:Marsh Flats Borderless
neo4-10,pokemon,neo4,10,Dark Typhlosion,LP,holo,en,1,28.3762,2026-06-23,airtable:Dark Typhlosion
89643,pokemon,PR,28/53,Surfing Pikachu,LP,normal,en,1,28.3762,2026-06-23,airtable:Surfing Pikachu
d922754a-37d0-42ec-9f55-134cf4f3bd1d,mtg,C19,246,Geier Reach Sanitarium,NM,normal,en,1,0.0946,2026-06-20,airtable:Geier Reach Sanitarium
aba51852-af8f-49d8-8fb6-22d52a1742b8,mtg,MH2,166,Ignoble Hierarch,MP,normal,en,1,0.0946,2026-06-20,airtable:Ignoble Hierarch
18e2c910-6ada-41f6-b5ea-2dc25167666c,mtg,SLD,1625,"Korvold, Fae-Cursed King",NM,foil,en,1,0.0946,2026-06-20,"airtable:Korvold, Fae-Cursed King"
